category,name,full_name,url,stars,last_commit,language,license,archived,description
Agentic & Tool Use Evals,Gorilla,ShishirPatil/gorilla,https://github.com/ShishirPatil/gorilla,12996,2026-04-13,Python,Apache-2.0,False,Training and evaluating LLMs for function calls (tool calls).
Agentic & Tool Use Evals,fast-agent,evalstate/fast-agent,https://github.com/evalstate/fast-agent,3890,2026-08-16,Python,Apache-2.0,False,"Code, build, and evaluate agents with excellent model and Skills/MCP/ACP support."
Agentic & Tool Use Evals,AgentBench,THUDM/AgentBench,https://github.com/THUDM/AgentBench,3673,2026-02-08,Python,Apache-2.0,False,A comprehensive benchmark to evaluate LLMs as agents (ICLR'24).
Agentic & Tool Use Evals,any-agent,mozilla-ai/any-agent,https://github.com/mozilla-ai/any-agent,1194,2026-08-01,Python,Apache-2.0,False,Single interface to use and evaluate different agent frameworks.
Agentic & Tool Use Evals,AIOpsLab,microsoft/AIOpsLab,https://github.com/microsoft/AIOpsLab,952,2026-08-13,Python,MIT,False,"Microsoft holistic framework for designing, developing, and evaluating autonomous AIOps agents."
Agentic & Tool Use Evals,AgentCPM,OpenBMB/AgentCPM,https://github.com/OpenBMB/AgentCPM,827,2026-02-09,Python,Apache-2.0,False,End-to-end infrastructure for training and evaluating various LLM agents.
Agentic & Tool Use Evals,AgentEvals,langchain-ai/agentevals,https://github.com/langchain-ai/agentevals,699,2026-07-14,Python,MIT,False,Readymade evaluators for agent trajectories from LangChain.
Agentic & Tool Use Evals,MemoryAgentBench,HUST-AI-HYZ/MemoryAgentBench,https://github.com/HUST-AI-HYZ/MemoryAgentBench,432,2026-05-21,Python,MIT,False,Evaluating memory in LLM agents via incremental multi-turn interactions (ICLR 2026).
Agentic & Tool Use Evals,Strands Agents Evals,strands-agents/evals,https://github.com/strands-agents/evals,179,2026-08-14,Python,Apache-2.0,False,Comprehensive evaluation framework for AI agents and LLM applications.
Agentic & Tool Use Evals,HaluMem,MemTensor/HaluMem,https://github.com/MemTensor/HaluMem,152,2026-04-30,Python,,False,Operation-level hallucination evaluation benchmark tailored to agent memory systems.
Agentic & Tool Use Evals,ResearchHarness,InternScience/ResearchHarness,https://github.com/black-yt/ResearchHarness,44,2026-07-16,Python,MIT,False,Lightweight harness for tool-using LLM agents with fair benchmark evaluation and personal assistant workflows.
Agentic & Tool Use Evals,iris-eval mcp-server,iris-eval/mcp-server,https://github.com/iris-eval/mcp-server,7,2026-08-13,TypeScript,MIT,False,"Agent eval standard for MCP — score output quality, catch safety failures, enforce cost budgets."
Agentic & Tool Use Evals,HarnessLab,polskiTran/HarnessLab,https://github.com/polskiTran/HarnessLab,0,2026-04-04,Python,,False,"Benchmark that evaluates the harness around the LLM — context management, retry policies, tool selection, memory architecture."
Awesome Lists / Resources,Every Eval Ever,evaleval/every_eval_ever,https://github.com/evaleval/every_eval_ever,105,2026-08-15,Python,MIT,False,Shared schema and crowdsourced eval database for comparing AI evaluation results across frameworks.
Awesome Lists / Resources,llm-benchmark,terryyz/llm-benchmark,https://github.com/terryyz/llm-benchmark,76,2024-02-17,,Apache-2.0,False,A list of LLM benchmark frameworks.
Benchmarks,BIG-bench,google/BIG-bench,https://github.com/google/BIG-bench,3249,2024-07-19,Python,Apache-2.0,True,Beyond the Imitation Game collaborative benchmark — 200+ tasks probing LLM capability and limitations.
Benchmarks,SkillsBench,benchflow-ai/skillsbench,https://github.com/benchflow-ai/skillsbench,1685,2026-07-23,PDDL,Apache-2.0,False,Benchmark for evaluating agent skills across a wide range of tasks.
Benchmarks,Bloom,safety-research/bloom,https://github.com/safety-research/bloom,1388,2026-05-07,Python,MIT,False,Evaluate any behavior immediately.
Benchmarks,OpenBench,groq/openbench,https://github.com/groq/openbench,800,2026-08-13,Python,MIT,False,"Provider-agnostic, open-source evaluation infrastructure for language models."
Benchmarks,Claw-Eval,claw-eval/claw-eval,https://github.com/claw-eval/claw-eval,749,2026-08-17,Python,MIT,False,Evaluation harness for evaluating LLMs as agents — all tasks human-verified.
Benchmarks,RewardBench,allenai/reward-bench,https://github.com/allenai/reward-bench,732,2026-02-16,Python,Apache-2.0,False,The first evaluation tool for reward models.
Benchmarks,article-extraction-benchmark,scrapinghub/article-extraction-benchmark,https://github.com/scrapinghub/article-extraction-benchmark,378,2026-05-29,Python,MIT,True,Benchmark for article extraction libraries from Scrapinghub.
Benchmarks,genai-bench,sgl-project/genai-bench,https://github.com/sgl-project/genai-bench,320,2026-07-29,Python,MIT,False,Benchmark tool for comprehensive token-level performance evaluation of LLM serving systems.
Benchmarks,MedEvalKit,alibaba-damo-academy/MedEvalKit,https://github.com/alibaba-damo-academy/MedEvalKit,249,2026-02-24,Python,,False,A unified medical evaluation framework.
Benchmarks,GameWorld,gameworld-project/GameWorld,https://github.com/gameworld-project/gameworld,209,2026-07-31,Python,,False,Game-based benchmark environment for evaluating AI agents.
Benchmarks,Sparse Frontier,PiotrNawrot/sparse-frontier,https://github.com/PiotrNawrot/sparse-frontier,129,2026-01-27,Python,NOASSERTION,False,Evaluation framework for training-free sparse attention in LLMs.
Benchmarks,OpenHands Benchmarks,OpenHands/benchmarks,https://github.com/OpenHands/benchmarks,115,2026-08-17,Python,MIT,False,Benchmark suite for evaluating the OpenHands coding agent.
Benchmarks,Dangerous Capability Evaluations,google-deepmind/dangerous-capability-evaluations,https://github.com/google-deepmind/dangerous-capability-evaluations,74,2026-06-16,Python,Apache-2.0,False,Google DeepMind's evaluation suite for dangerous model capabilities.
Benchmarks,med-lm-envs,MedARC-AI/medmarks,https://github.com/MedARC-AI/med-lm-envs,52,2026-05-31,Python,MIT,False,Automated LLM evaluation suite for medical tasks.
"Bias & Fairness (Cultural, Political, Social)",StereoSet,moinnadeem/StereoSet,https://github.com/moinnadeem/StereoSet,204,2022-12-08,Python,CC-BY-SA-4.0,False,Measuring stereotypical bias in pretrained language models.
"Bias & Fairness (Cultural, Political, Social)",BBQ,nyu-mll/BBQ,https://github.com/nyu-mll/BBQ,149,2024-01-08,Python,CC-BY-4.0,False,Bias Benchmark for QA — measures social bias across nine demographic categories.
"Bias & Fairness (Cultural, Political, Social)",CrowS-Pairs,nyu-mll/crows-pairs,https://github.com/nyu-mll/crows-pairs,138,2024-03-01,HTML,,False,Challenge dataset measuring social bias in masked language models.
"Bias & Fairness (Cultural, Political, Social)",OpinionQA,tatsu-lab/opinions_qa,https://github.com/tatsu-lab/opinions_qa,123,2024-05-02,Jupyter Notebook,,False,Evaluating alignment of LLM opinions with U.S. demographic and political groups.
"Bias & Fairness (Cultural, Political, Social)",BLEnD,nlee0212/BLEnD,https://github.com/nlee0212/BLEnD,50,2025-08-10,Python,,False,Benchmark for LLMs on everyday knowledge in diverse cultures and languages — probes American/Western-centric bias.
"Bias & Fairness (Cultural, Political, Social)",WorldValuesBench,Demon702/WorldValuesBench,https://github.com/Demon702/WorldValuesBench,21,2025-03-17,Jupyter Notebook,,False,"Benchmark for evaluating multicultural value alignment in LLMs, grounded in the World Values Survey."
"Bias & Fairness (Cultural, Political, Social)",CDEval,astrodrew/CDEval,https://github.com/astrodrew/CDEval,7,2024-02-02,,,False,Benchmark for measuring the cultural dimensions of LLMs along Hofstede-style axes.
Browser & Web Agent Evals,WebArena,web-arena-x/webarena,https://github.com/web-arena-x/webarena,1579,2025-11-26,Python,Apache-2.0,False,Realistic and reproducible web environment for building and evaluating autonomous agents.
Browser & Web Agent Evals,BrowserGym,ServiceNow/BrowserGym,https://github.com/ServiceNow/BrowserGym,1320,2026-07-17,Python,NOASSERTION,False,Gym environment for web task automation and agent evaluation in real browsers.
Browser & Web Agent Evals,Mind2Web,OSU-NLP-Group/Mind2Web,https://github.com/OSU-NLP-Group/Mind2Web,1018,2025-11-05,Jupyter Notebook,MIT,False,Dataset and benchmark for developing and evaluating generalist agents for the web.
Browser & Web Agent Evals,WebShop,princeton-nlp/WebShop,https://github.com/princeton-nlp/WebShop,583,2024-09-06,Python,MIT,False,Simulated e-commerce environment for evaluating language-grounded web-interaction agents.
Browser & Web Agent Evals,VisualWebArena,web-arena-x/visualwebarena,https://github.com/web-arena-x/visualwebarena,485,2024-11-09,Python,MIT,False,Benchmark for evaluating multimodal agents on realistic visual web tasks.
Browser & Web Agent Evals,MiniWoB++,Farama-Foundation/MiniWoB-plusplus,https://github.com/Farama-Foundation/miniwob-plusplus,396,2026-08-13,HTML,MIT,False,Classic benchmark of 100+ small web-interaction tasks for evaluating web-using agents.
Coding Evals,SWE-bench,SWE-bench/SWE-bench,https://github.com/SWE-bench/SWE-bench,5650,2026-08-17,Python,MIT,False,Benchmark for evaluating LLMs on real-world GitHub issue resolution.
Grounding & Hallucination,TruthfulQA,sylinrl/TruthfulQA,https://github.com/sylinrl/TruthfulQA,937,2025-01-16,Jupyter Notebook,Apache-2.0,False,Benchmark measuring whether a language model is truthful in generating answers to questions.
Grounding & Hallucination,SelfCheckGPT,potsawee/selfcheckgpt,https://github.com/potsawee/selfcheckgpt,629,2024-06-26,Python,MIT,False,Zero-resource black-box hallucination detection for LLMs via self-consistency.
Grounding & Hallucination,HaluEval,RUCAIBox/HaluEval,https://github.com/RUCAIBox/HaluEval,595,2024-02-12,Python,MIT,False,Large-scale hallucination evaluation benchmark for LLMs.
Grounding & Hallucination,FActScore,shmsw25/FActScore,https://github.com/shmsw25/FActScore,456,2025-04-13,Python,MIT,False,Fine-grained atomic evaluation of factual precision in long-form text generation.
Grounding & Hallucination,RAGTruth,ParticleMedia/RAGTruth,https://github.com/ParticleMedia/RAGTruth,263,2024-12-02,Python,MIT,False,Hallucination corpus for developing trustworthy RAG — word-level annotations on model outputs.
Multimodal Evals,lmms-eval,EvolvingLMMs-Lab/lmms-eval,https://github.com/EvolvingLMMs-Lab/lmms-eval,4365,2026-08-06,Python,NOASSERTION,False,"One-for-all multimodal evaluation toolkit across text, image, video, and audio tasks."
Multimodal Evals,VLMEvalKit,open-compass/VLMEvalKit,https://github.com/open-compass/VLMEvalKit,4340,2026-08-14,Python,Apache-2.0,False,Open-source evaluation toolkit for large multi-modality models — supports 220+ LMMs and 80+ benchmarks.
Multimodal Evals,EmoBench-M,Emo-gml/EmoBench-M,https://github.com/Emo-gml/EmoBench-M,147,2026-07-12,Python,Apache-2.0,False,Benchmark for evaluating emotion recognition capabilities of multimodal LLMs.
Multimodal Evals,EASI,EvolvingLMMs-Lab/EASI,https://github.com/EvolvingLMMs-Lab/EASI,121,2026-07-01,Python,Apache-2.0,False,Evaluation framework for large multimodal models.
Multimodal Evals,MMT-Bench,OpenGVLab/MMT-Bench,https://github.com/OpenGVLab/MMT-Bench,119,2026-04-06,Python,,False,Comprehensive multimodal benchmark for evaluating LMMs across massive multitask AGI scenarios.
Multimodal Evals,FlagEvalMM,flageval-baai/FlagEvalMM,https://github.com/flageval-baai/FlagEvalMM,107,2026-04-21,Python,,False,Flexible framework for comprehensive evaluation of multimodal models from BAAI.
Multimodal Evals,OmniSafeBench-MM,jiaxiaojunQAQ/OmniSafeBench-MM,https://github.com/jiaxiaojunQAQ/OmniSafeBench-MM,75,2026-05-08,Python,,False,Safety benchmark for multimodal large language models.
Multimodal Evals,MME-Emotion,QwenAudio/MME-Emotion,https://github.com/FunAudioLLM/MME-Emotion,50,2026-01-17,Python,MIT,False,Multimodal emotion understanding evaluation benchmark.
Multimodal Evals,multimodalhugs,GerrySant/multimodalhugs,https://github.com/GerrySant/multimodalhugs,19,2026-06-09,Python,MIT,False,Multimodal training and evaluation framework built on Hugging Face.
Platforms And Software,FastChat,lm-sys/FastChat,https://github.com/lm-sys/FastChat,39513,2026-05-01,Python,Apache-2.0,False,"Platform for training, serving, and evaluating LLMs — home of Chatbot Arena and MT-Bench."
Platforms And Software,Langfuse,langfuse/langfuse,https://github.com/langfuse/langfuse,33211,2026-08-16,TypeScript,NOASSERTION,False,"Open source LLM engineering platform — observability, metrics, evals, prompt management, playground, datasets."
Platforms And Software,MLflow,mlflow/mlflow,https://github.com/mlflow/mlflow,27538,2026-08-17,Python,Apache-2.0,False,"Open source AI engineering platform for agents, LLMs, and ML models — debug, evaluate, monitor, optimize."
Platforms And Software,promptfoo,promptfoo/promptfoo,https://github.com/promptfoo/promptfoo,24288,2026-08-17,TypeScript,MIT,False,"CLI and library for testing, evaluating, and red-teaming LLM apps — test-driven prompt engineering."
Platforms And Software,Opik,comet-ml/opik,https://github.com/comet-ml/opik,21418,2026-08-17,Python,Apache-2.0,False,"Debug, evaluate, and monitor LLM apps, RAG systems, and agentic workflows with tracing and dashboards."
